"","Lasso","Reg. Tree","Forest","Boosting","Neural Net","Ensemble","Best"
"60",1360.00441203647,1366.65322550857,1310.10084781632,1329.81814205285,1593.98623892226,1327.12159782687,1360.00441203647
"61",1357.27111759074,1368.1460764585,1298.92015280458,1319.02156279147,1483.8594944972,1305.99276271166,1319.02156279147
"62",1357.39421309155,1356.63621339486,1296.76108588942,1334.0959477268,1502.43007803304,1332.65151839633,1357.39421309155
"63",1369.65467406955,1360.71622848024,1348.18839272637,1332.26850790457,1711.01190393233,1335.11489161226,1369.65467406955
"64",1368.20754277258,1337.81673426015,1283.84800142069,1333.718641106,1620.67895770255,1329.50753913633,1368.20754277258
"65",1354.50666003478,1353.35234220614,1332.7744474276,1316.79494298968,1406.84775204559,1304.42129592554,1354.50666003478
"66",1317.32610551639,1315.39037355378,1232.76254979532,1315.41002098761,1452.54105638314,1274.97157495245,1317.32610551639
"67",1323.80335954761,1381.1973293468,1282.91477632902,1302.66682923531,1441.613485041,1293.88276416029,1323.80335954761
"68",1328.36591362593,1334.80735656495,1284.54316720916,1314.73436615819,1480.61111713573,1295.83611218121,1314.73436615819
"69",1324.43716768729,1364.35700845775,1308.01972198531,1307.90399675641,1466.15394608188,1304.41509167568,1324.43716768729
"70",1326.78864477055,1334.72215265052,1311.47712645518,1334.57411297503,1379.66549769435,1297.82387274457,1326.78864477055
"71",1390.84181966894,1377.28299543115,1298.3427822764,1329.67952350744,1569.51686246108,1330.56363465941,1390.84181966894
"72",1382.76490140124,1340.80845018586,1311.31977405843,1319.03856295953,1677.12090569056,1305.51251017497,1382.76490140124
"73",1301.09454823301,1352.76061225219,1247.97228500575,1313.07717185152,1468.08469091705,1290.10197427531,1301.09454823301
"74",1317.4923184923,1343.59114521468,1344.65593276153,1324.89626541353,1400.41796863262,1305.32903935152,1317.4923184923
"75",1331.77017915138,1404.85242718889,1317.45738980345,1337.15140612442,1464.31862378644,1322.57272458737,1331.77017915138
"76",1371.76109461979,1368.60786313879,1330.35497331751,1324.79924289575,1527.53924306917,1327.00046190221,1371.76109461979
"77",1355.43153934131,1348.99906363014,1332.5661325029,1325.8638334522,1507.95137594248,1322.77595446568,1355.43153934131
"78",1384.79848792497,1346.22901853671,1318.42734618171,1318.45875538124,1569.23132085003,1319.42661354422,1384.79848792497
"79",1431.50445415185,1366.39509657088,1311.30978926003,1331.14633315916,1607.19272193184,1343.36059607445,1431.50445415185
"80",1374.413376329,1340.54571994678,1324.91211614237,1311.34982752974,1469.26659730146,1304.98130343281,1374.413376329
"81",1307.66139863112,1314.33010072964,1312.52783488838,1325.46198770248,1456.03107966663,1292.18829021785,1307.66139863112
"82",1319.57103950601,1323.56929617542,1332.44645602081,1344.71394611196,1607.45686263536,1323.9421276613,1319.57103950601
"83",1326.83388805975,1390.28169984629,1299.71531703985,1324.72932464814,1619.51424566558,1313.96177064958,1326.83388805975
"84",1340.18929543865,1358.81063455107,1288.61108857139,1331.70808806191,1427.96544376565,1300.44112581062,1340.18929543865
"85",1311.97535855991,1347.51091667767,1311.29175035164,1319.86811452018,1631.66214029412,1321.82480598624,1311.97535855991
"86",1411.51617533657,1383.8120149036,1325.75954208674,1339.61796956319,1647.7407196983,1363.01685459702,1411.51617533657
"87",1303.5162976845,1349.77442547016,1307.47560673482,1315.69577916131,1433.30188764399,1300.36641372864,1303.5162976845
"88",1344.79709363725,1372.79966183069,1315.70653154159,1323.62522109099,1582.745077803,1325.98511189899,1344.79709363725
"89",1328.66595832912,1373.87162445868,1260.5689744327,1341.01191050363,1430.06934862159,1302.41261944039,1328.66595832912
"90",1367.76456744989,1326.66108832496,1304.22943115828,1326.05214174696,1456.16628050917,1317.83809668616,1367.76456744989
"91",1357.693179074,1327.68355012813,1304.65309483982,1327.33222903732,1415.92880820045,1298.78058252009,1357.693179074
"92",1313.79902789067,1364.68967006392,1316.76984289441,1324.85726364672,1485.03797024021,1304.42075067827,1313.79902789067
"93",1304.43668215961,1389.52808808438,1320.08538595768,1322.85105209583,1537.19068154667,1316.90920977464,1304.43668215961
"94",1370.11403337489,1337.72859683917,1289.09767257506,1304.79198850747,1420.63055867606,1294.23695668837,1370.11403337489
"95",1361.34476716355,1345.90356488008,1311.2839870015,1317.44203960366,1401.61715924738,1297.67123594897,1361.34476716355
"96",1353.04051323169,1314.21445236489,1325.55239104008,1325.30462353178,1383.12632754364,1293.9946423842,1353.04051323169
"97",1317.72750697964,1337.67329183466,1285.71467050524,1318.21295625823,1581.93469015197,1307.25364598303,1317.72750697964
"98",1356.60420564107,1388.28197764683,1303.17133968379,1320.68627089115,1361.1187475821,1299.63774420921,1356.60420564107
"99",1378.89146492055,1379.87963177406,1317.64449711864,1325.27960227161,1440.4774759884,1329.70191499616,1325.27960227161
"100",1348.59545259571,1403.01987355662,1337.68962595335,1339.35204827164,1625.07717164633,1349.28596457096,1348.59545259571
