"","Lasso","Reg. Tree","Forest","Boosting","Neural Net","Ensemble","Best"
"77",9710.21551412747,9106.23148890056,9283.10427582866,9014.75429727439,9134.0414986669,9338.21889822649,9710.21551412747
"78",9674.90717176003,9332.10323132227,9676.70633119507,8991.61542289327,9927.56916066731,9621.72723120979,9674.90717176003
"79",8777.55520150809,8654.63294731229,8743.37231729196,8861.18115357939,9711.9798513644,9044.37475675116,8777.55520150809
"80",10050.6567166917,9223.32112682036,9568.11738544869,9002.8575107558,7987.96529905846,9272.30589858877,10050.6567166917
"81",9415.4043632947,8735.52947839747,9630.88942565059,8843.43938951815,8560.5200946553,9072.63325449278,9415.4043632947
"82",9180.97822155222,9215.43702695195,8452.02373208478,8700.45659281639,8532.47775473477,8849.30350481462,9180.97822155222
"83",9571.32139453354,9217.30818931864,9821.56102381177,8966.97963885658,10668.2154551893,9765.07138934314,9571.32139453354
"84",9644.37808167006,8701.08654950519,9386.7079192719,8876.65102605344,8606.65067584912,9084.68075371818,9644.37808167006
"85",9375.55891337539,8996.16483024057,9081.98707051946,8984.9584201822,11024.8138269971,9482.80979973124,9375.55891337539
"86",8932.82566432521,8707.1278947319,8895.21324971674,8762.99892558548,6502.65221412653,8391.01623262393,8932.82566432521
"87",9476.50803714019,8298.57192692574,8921.25510809987,8967.81765118276,8569.41773835616,9017.18006260314,9476.50803714019
"88",9294.93799632936,9350.71084761121,8688.53013725665,8958.16006057239,8183.5224239602,8925.84083682718,9294.93799632936
"89",9481.60000605406,8307.39200980221,9058.90578012336,9093.35425586492,8002.21599522935,8935.54371695504,9481.60000605406
"90",9663.9527050404,8606.05108498697,9161.49183008582,8810.8973846108,8796.06358233684,9108.45199197036,9663.9527050404
"91",9881.91864495355,8345.2287029027,9462.25957864564,8803.80015159428,9871.47504711028,9400.82694063418,9881.91864495355
"92",9680.07258390334,9454.64379924355,9155.19704991901,8944.38485563313,10510.3984567519,9660.15640909386,9680.07258390334
"93",9808.72091930333,9537.26918679402,9745.65128249133,9215.00454531273,10066.8960746494,9757.57220015651,9808.72091930333
"94",9765.83413128304,8822.30502404815,8949.51640234088,9030.62260079129,8708.80500889171,9165.7396700536,9765.83413128304
"95",9949.23526985039,9944.61018121249,9240.79111300623,9195.4685867772,9526.53938393941,9658.08442593984,9949.23526985039
"96",9808.32283137441,8822.8531355435,9498.89005489012,9026.73252124647,8920.78212141066,9323.64022649906,9808.32283137441
"97",9764.58429618845,8654.88595389562,8965.73037831709,8800.22205977722,10248.0959366725,9380.3106698011,9764.58429618845
"98",9761.6780604002,9063.00324568273,9535.0131963666,8942.41092219212,9216.56540064416,9465.24325948764,9761.6780604002
"99",9661.22983874098,8755.83212235745,9415.04038768494,9067.44204038808,9294.01838932969,9416.6250820169,9067.44204038808
"100",9739.81788960112,8946.45695647285,9841.55532672491,8848.94924821889,8411.23710160161,9335.25020194408,9739.81788960112
